,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameType
31,31,31,31,31,Los Angeles Lakers,Los Angeles Clippers,L,10/19/2017,240,37,91,0.407,4,16,0.25,14,23,0.609,12,40,52,21,8,7,19,15,92,-16,regular season
32,32,32,32,32,Atlanta Hawks,Charlotte Hornets,L,10/20/2017,240,36,95,0.379,7,30,0.233,12,14,0.857,6,32,38,19,11,4,13,29,91,-18,regular season
33,33,33,33,33,Charlotte Hornets,Atlanta Hawks,W,10/20/2017,240,37,86,0.43,11,36,0.306,24,30,0.8,12,45,57,17,5,4,21,18,109,18,regular season
34,34,34,34,34,Portland Trail Blazers,Indiana Pacers,W,10/20/2017,240,46,95,0.484,9,19,0.474,13,17,0.765,11,40,51,19,5,6,9,26,114,18,regular season
35,35,35,35,35,Indiana Pacers,Portland Trail Blazers,L,10/20/2017,240,35,78,0.449,4,18,0.222,22,33,0.667,6,33,39,15,1,4,12,17,96,-18,regular season
36,36,36,36,36,Cleveland Cavaliers,Milwaukee Bucks,W,10/20/2017,240,44,81,0.5429999999999999,11,26,0.423,17,17,1.0,9,35,44,25,8,3,17,11,116,19,regular season
37,37,37,37,37,Milwaukee Bucks,Cleveland Cavaliers,L,10/20/2017,240,38,82,0.463,11,35,0.314,10,12,0.833,8,22,30,23,9,2,14,17,97,-19,regular season
38,38,38,38,38,Boston Celtics,Philadelphia 76ers,W,10/20/2017,240,35,84,0.417,10,29,0.345,22,32,0.688,14,41,55,16,4,5,19,24,102,10,regular season
39,39,39,39,39,Philadelphia 76ers,Boston Celtics,L,10/20/2017,240,35,92,0.38,10,32,0.313,12,16,0.75,14,33,47,20,7,4,16,30,92,-10,regular season
40,40,40,40,40,Detroit Pistons,Washington Wizards,L,10/20/2017,240,43,87,0.494,10,23,0.435,15,20,0.75,10,23,33,19,12,1,19,32,111,-4,regular season
41,41,41,41,41,Washington Wizards,Detroit Pistons,W,10/20/2017,240,40,75,0.5329999999999999,6,17,0.353,29,35,0.8290000000000001,7,30,37,25,12,7,16,18,115,4,regular season
42,42,42,42,42,Orlando Magic,Brooklyn Nets,L,10/20/2017,240,45,89,0.506,18,33,0.545,13,15,0.867,9,31,40,30,9,3,22,27,121,-5,regular season
43,43,43,43,43,Brooklyn Nets,Orlando Magic,W,10/20/2017,240,46,92,0.5,9,27,0.333,25,35,0.7140000000000001,15,33,48,22,13,6,18,17,126,5,regular season
44,44,44,44,44,Utah Jazz,Minnesota Timberwolves,L,10/20/2017,240,37,77,0.481,9,22,0.409,14,17,0.8240000000000001,7,31,38,23,10,8,19,21,97,-3,regular season
45,45,45,45,45,Minnesota Timberwolves,Utah Jazz,W,10/20/2017,240,36,81,0.444,7,22,0.318,21,26,0.8079999999999999,10,34,44,17,11,2,15,17,100,3,regular season
46,46,46,46,46,Sacramento Kings,Dallas Mavericks,W,10/20/2017,240,37,87,0.425,10,23,0.435,9,13,0.6920000000000001,16,41,57,20,8,3,14,18,93,5,regular season
